host_id,host_name,listing_count,average_price
4335632,Tui,1,202.0
4341984,Jacob,1,141.0
4346522,Martijn,1,
4355186,Nanne,1,196.0
4356084,Daniël,1,181.0
4359905,André,1,
4361902,Yorick,1,400.0
4362519,Solmaz,1,772.0
4364462,Margot,1,123.0
4370511,Emilia,1,110.0
4374457,Alexandra,1,300.0
4380065,Shermin,1,110.0
4380449,Johan,1,162.0
4381603,Eelke,1,
4386675,Amsterdam,3,1380.67
4398387,Joyce,1,
4398501,Martin,1,500.0
4405684,Tamara,1,
4405873,Remon,1,
4406279,Claire,1,
4406417,Jolanda,1,
4412129,Benjamin,1,230.0
4415881,Vera,1,85.0
4416629,Sarah,1,161.0
4417000,Madelon,1,316.0
4419890,Ivana,1,250.0
4422940,Rob,1,
4434837,Tomas,1,206.0
4437313,Melianthe,1,
4443157,Arne,1,86.0
4443653,Ruben,1,
4443833,Nova Team,2,111.0
4450008,Dirk,1,
4450504,Sandra,1,266.0
4456680,Niels,6,500.5
4460292,Fleur,1,214.0
4472915,Lise-Lotte,1,198.0
4473053,Jennifer,1,
4473548,Michael,1,
4473576,Hans,2,159.0
4473752,Michiel,1,225.0
4480511,Denise,1,261.0
4512372,Lidia,1,231.0
4513007,Suzanne,1,123.0
4513819,Ronald,1,204.0
4520552,Simone,1,250.0
4522482,Lilia,1,225.0
4523519,Julius,1,252.0
4532209,Quintin,1,149.0
4542627,Malu,1,
4543444,Trinette,1,156.0
4544932,Joris,1,617.0
4557482,Rosalie,1,
4561160,Jan-Marne,1,350.0
4562852,Michiel,1,428.0
4570600,Karina,1,192.0
4573337,Edo,1,198.0
4574185,Scott,2,103.5
4577738,Sanne,1,
4579810,Zehra,1,
4584159,Danny,1,211.0
4592706,Joris,1,
4597572,Tim,1,271.0
4614541,Driss And Bettina,2,203.5
4615651,Eunice,1,250.0
4625166,Anna Maria Hendrika,1,450.0
4625398,Marije,1,175.0
4632845,Justin,1,317.0
4634280,Bobiaan Adriaan,1,
4638813,Pascal,1,
4651226,Maarten,1,405.0
4652697,Pim,1,540.0
4657366,Maite,1,
4659585,Valerie,1,929.0
4662897,Amin,1,
4663170,Brenda,2,289.5
4668971,Philip,1,69.0
4674102,Andrew,1,279.0
4677691,Jolien,1,180.0
4684314,Frans,1,144.0
4684764,Jeroen,2,
4685106,Babette,1,225.0
4685354,Michelle,1,450.0
4690221,Freddy,1,
4707615,Carin,1,125.0
4709660,Franca,1,
4715970,Emre,1,583.0
4721085,Maurice,1,149.0
4722235,Marieke,1,
4723163,Vivienne,1,
4724613,Cindy,1,439.0
4736257,Iva,1,
4737293,Pien,1,
4739729,Everhard R,1,122.0
4740141,Chantal,1,
